queries,slots usage,false positive rate
0,8421575,0.005000
10000,8421621,0.003980
20000,8421655,0.003780
30000,8421688,0.003800
40000,8421735,0.003950
50000,8421781,0.003690
60000,8421820,0.003790
70000,8421857,0.003890
80000,8421886,0.004090
90000,8421919,0.003720
100000,8421957,0.004000
110000,8422003,0.003660
120000,8422030,0.003830
130000,8422063,0.003520
140000,8422103,0.003810
150000,8422143,0.003780
160000,8422169,0.003810
170000,8422213,0.003840
180000,8422249,0.003890
190000,8422286,0.003960
200000,8422314,0.003860
210000,8422363,0.003980
220000,8422397,0.003630
230000,8422439,0.003750
240000,8422477,0.004060
250000,8422504,0.004010
260000,8422540,0.003690
270000,8422592,0.003580
280000,8422633,0.003890
290000,8422664,0.003940
300000,8422707,0.003700
310000,8422751,0.004000
320000,8422799,0.004170
330000,8422845,0.003800
340000,8422881,0.003890
350000,8422922,0.003860
360000,8422959,0.003990
370000,8422998,0.003770
380000,8423044,0.003770
390000,8423074,0.004200
400000,8423132,0.003900
410000,8423160,0.003820
420000,8423196,0.003880
430000,8423231,0.004000
440000,8423258,0.003960
450000,8423303,0.003710
460000,8423355,0.003910
470000,8423398,0.003880
480000,8423447,0.003900
490000,8423494,0.003830
500000,8423536,0.003910
510000,8423564,0.004190
520000,8423617,0.003940
530000,8423655,0.003780
540000,8423692,0.003960
550000,8423723,0.004050
560000,8423763,0.003700
570000,8423802,0.004080
580000,8423835,0.003960
590000,8423874,0.004100
600000,8423917,0.003720
610000,8423946,0.003960
620000,8423973,0.003980
630000,8424019,0.003990
640000,8424057,0.004330
650000,8424114,0.003750
660000,8424152,0.003540
670000,8424189,0.003670
680000,8424232,0.003610
690000,8424266,0.003870
700000,8424303,0.003680
710000,8424351,0.003840
720000,8424392,0.004060
730000,8424424,0.004020
740000,8424471,0.004140
750000,8424520,0.004040
760000,8424570,0.003720
770000,8424601,0.003910
780000,8424634,0.003780
790000,8424677,0.003500
800000,8424718,0.003520
810000,8424752,0.004120
820000,8424793,0.003960
830000,8424830,0.003800
840000,8424863,0.003490
850000,8424901,0.003640
860000,8424931,0.004100
870000,8424968,0.003900
880000,8425020,0.004000
890000,8425060,0.003870
900000,8425103,0.004060
910000,8425142,0.003790
920000,8425185,0.004090
930000,8425221,0.003930
940000,8425268,0.003860
950000,8425312,0.004030
960000,8425349,0.003630
970000,8425394,0.003890
980000,8425434,0.004110
990000,8425460,0.003880
1000000,8425518,0.003950
